Species;Category;Time
;;17/02/2022 10:00
criquet;orthopteres;03/06/2022 08:50
mouche;dipteres;24/02/2022 11:13
coccinelle;coleopteres;13/02/2022 07:15
;;30/07/2022 05:42
;;18/08/2022 11:23
coccinelle;coleopteres;24/01/2022 09:54
;;17/08/2022 17:32
coccinelle;coleopteres;21/12/2022 10:42
mouche;dipteres;08/09/2022 09:47
coccinelle;coleopteres;31/12/2022 09:33
mouche;dipteres;30/12/2022 23:10
chenille;holometaboles;24/03/2022 05:03
papillon;pollinisateur;25/11/2022 15:43
coccinelle;coleopteres;05/08/2022 02:44
mouche;dipteres;24/10/2022 04:25
papillon;pollinisateur;26/11/2022 07:55
chenille;holometaboles;01/03/2022 08:19
;;26/03/2022 14:03
criquet;orthopteres;02/06/2022 14:44
papillon;pollinisateur;05/07/2022 18:11
mouche;dipteres;02/03/2022 10:00
;;01/04/2022 20:32
mouche;dipteres;28/10/2022 03:34
abeille;pollinisateur;21/01/2022 18:34
coccinelle;coleopteres;20/02/2022 23:08
papillon;pollinisateur;31/01/2022 10:14
abeille;pollinisateur;01/06/2022 22:51
criquet;orthopteres;29/05/2022 04:28
papillon;pollinisateur;11/01/2022 17:25
abeille;pollinisateur;11/04/2022 02:14
;;06/07/2022 10:07
coccinelle;coleopteres;03/11/2022 17:25
criquet;orthopteres;08/05/2022 19:28
mouche;dipteres;07/12/2022 09:29
chenille;holometaboles;13/01/2022 20:18
;;09/01/2022 16:51
coccinelle;coleopteres;27/05/2022 23:51
;;18/01/2022 23:05
chenille;holometaboles;01/02/2022 10:01
criquet;orthopteres;06/12/2022 05:35
chenille;holometaboles;16/07/2022 21:30
coccinelle;coleopteres;19/01/2022 07:23
;;08/01/2022 03:38
abeille;pollinisateur;09/05/2022 22:51
abeille;pollinisateur;03/12/2022 16:42
abeille;pollinisateur;24/04/2022 06:55
abeille;pollinisateur;15/10/2022 07:14
coccinelle;coleopteres;23/08/2022 11:29
abeille;pollinisateur;26/02/2022 23:11
papillon;pollinisateur;09/02/2022 20:04
;;22/07/2022 05:16
mouche;dipteres;28/07/2022 13:10
chenille;holometaboles;22/05/2022 05:49
;;04/04/2022 09:49
abeille;pollinisateur;11/05/2022 11:59
criquet;orthopteres;22/12/2022 00:31
papillon;pollinisateur;04/06/2022 16:53
criquet;orthopteres;24/05/2022 05:56
chenille;holometaboles;02/10/2022 20:43
abeille;pollinisateur;09/02/2022 07:36
mouche;dipteres;08/01/2022 01:37
coccinelle;coleopteres;18/05/2022 03:28
;;08/12/2022 18:06
mouche;dipteres;25/11/2022 11:52
papillon;pollinisateur;16/08/2022 09:55
chenille;holometaboles;28/02/2022 05:36
papillon;pollinisateur;12/12/2022 02:25
chenille;holometaboles;11/10/2022 00:58
coccinelle;coleopteres;18/02/2022 08:00
criquet;orthopteres;13/10/2022 13:14
papillon;pollinisateur;10/04/2022 02:55
coccinelle;coleopteres;04/01/2022 11:00
abeille;pollinisateur;01/09/2022 01:32
chenille;holometaboles;07/08/2022 13:19
;;23/02/2022 06:02
abeille;pollinisateur;18/05/2022 09:56
papillon;pollinisateur;09/02/2022 20:57
abeille;pollinisateur;11/06/2022 15:45
chenille;holometaboles;15/10/2022 19:38
coccinelle;coleopteres;07/08/2022 08:57
papillon;pollinisateur;19/03/2022 02:26
criquet;orthopteres;02/03/2022 04:07
mouche;dipteres;05/09/2022 16:08
abeille;pollinisateur;16/05/2022 23:07
criquet;orthopteres;09/04/2022 04:13
criquet;orthopteres;24/04/2022 09:34
criquet;orthopteres;14/08/2022 18:11
papillon;pollinisateur;25/06/2022 12:47
chenille;holometaboles;07/01/2022 16:01
criquet;orthopteres;27/11/2022 13:03
abeille;pollinisateur;21/03/2022 20:16
;;31/08/2022 08:11
mouche;dipteres;19/04/2022 18:56
chenille;holometaboles;03/05/2022 14:54
chenille;holometaboles;05/06/2022 21:29
;;26/11/2022 07:02
criquet;orthopteres;16/04/2022 00:05
papillon;pollinisateur;05/04/2022 19:25
criquet;orthopteres;18/12/2022 19:06
;;01/05/2022 17:32
coccinelle;coleopteres;17/09/2022 23:37
criquet;orthopteres;25/04/2022 21:18
